#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#At. num| Sp. Name      | Ion Charge | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |      Ionization Energy (b) (eV)       | References
#-------|---------------|------------|------------|-------------|-------------------|--------------|-------------------|---------------------------------------|-------------------
     14 | Si VIII       |         +7 | Silicon    | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [303.66(17)]                 |            L11770
     14 | Si IX         |         +8 | Silicon    | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [351.100(80)]                |            L11770
     14 | Si X          |         +9 | Silicon    | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [401.380(40)]                |            L11770
     14 | Si XI         |        +10 | Silicon    | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [476.180(80)]                |            L11770
     14 | Si XII        |        +11 | Silicon    | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (523.4150(70))               |         L16264c99
     14 | Si XIII       |        +12 | Silicon    | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (2437.65804(20))              |            L12128
     14 | Si XIV        |        +13 | Silicon    | H           | 1s                | 2S<1/2>      |                   |         (2673.17740(25))              |             L7188
     15 | P I           |          0 | Phosphorus | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |            10.486686(15)              |             L5148
     15 | P II          |         +1 | Phosphorus | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [19.769490(40)]             |            L11770
     15 | P III         |         +2 | Phosphorus | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |            30.202640(90)              |             L7147
     15 | P IV          |         +3 | Phosphorus | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |            51.44387(12)               |             L7147
     15 | P V           |         +4 | Phosphorus | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            65.02511(12)               |             L7147
     15 | P VI          |         +5 | Phosphorus | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |          [220.4304(50)]               |            L11770
     15 | P VII         |         +6 | Phosphorus | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [263.570(60)]                |             L7147
     15 | P VIII        |         +7 | Phosphorus | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [309.60(10)]                 |             L7147
     15 | P IX          |         +8 | Phosphorus | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [372.31(21)]                 |            L11770
     15 | P X           |         +9 | Phosphorus | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [424.400(90)]                |            L11770
     15 | P XI          |        +10 | Phosphorus | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [479.441(50)]                |            L11770
     15 | P XII         |        +11 | Phosphorus | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [560.62(10)]                 |            L11770
     15 | P XIII        |        +12 | Phosphorus | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (611.7400(70))               |         L16264c99
     15 | P XIV         |        +13 | Phosphorus | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (2816.90867(20))              |            L12128
     15 | P XV          |        +14 | Phosphorus | H           | 1s                | 2S<1/2>      |                   |         (3069.84140(40))              |             L7188
     16 | S I           |          0 | Sulfur     | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |            10.36001(12)               |             L7237
     16 | S II          |         +1 | Sulfur     | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |            23.33788(25)               |       L7237,L5883
     16 | S III         |         +2 | Sulfur     | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [34.856(40)]                |            L11770
     16 | S IV          |         +3 | Sulfur     | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           [47.222(12)]                |             L7237
     16 | S V           |         +4 | Sulfur     | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |            72.59449(40)               |             L7237
     16 | S VI          |         +5 | Sulfur     | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |            88.05292(40)               |             L7237
     16 | S VII         |         +6 | Sulfur     | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           280.9540(70)                |             L9896
     16 | S VIII        |         +7 | Sulfur     | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |           328.7900(70)                |            L11242
     16 | S IX          |         +8 | Sulfur     | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [379.84(21)]                 |            L11770
     16 | S X           |         +9 | Sulfur     | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [447.74(30)]                 |            L11770
     16 | S XI          |        +10 | Sulfur     | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [504.55(12)]                 |            L11770
     16 | S XII         |        +11 | Sulfur     | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [564.407(50)]                |            L11770
     16 | S XIII        |        +12 | Sulfur     | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [651.96(12)]                 |            L11770
     16 | S XIV         |        +13 | Sulfur     | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (706.9940(70))               |         L16264c99
     16 | S XV          |        +14 | Sulfur     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (3223.78059(30))              |            L12128
     16 | S XVI         |        +15 | Sulfur     | H           | 1s                | 2S<1/2>      |                   |         (3494.18770(50))              |             L7188
     17 | Cl I          |          0 | Chlorine   | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |            12.967630(40)              |              L298
     17 | Cl II         |         +1 | Chlorine   | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |            23.81364(12)               |             L1617
     17 | Cl III        |         +2 | Chlorine   | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |           [39.80(11)]                 |            L11770
     17 | Cl IV         |         +3 | Chlorine   | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [53.24(12)]                 |            L11770
     17 | Cl V          |         +4 | Chlorine   | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |           [67.68(10)]                 |            L11770
     17 | Cl VI         |         +5 | Chlorine   | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |           [96.940(40)]                |            L11770
     17 | Cl VII        |         +6 | Chlorine   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |           114.20130(60)               |             L6356
     17 | Cl VIII       |         +7 | Chlorine   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |           348.3060(70)                |             L6972
     17 | Cl IX         |         +8 | Chlorine   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |           400.851(12)                 |             L9369
     17 | Cl X          |         +9 | Chlorine   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [456.68(40)]                 |            L11770
     17 | Cl XI         |        +10 | Chlorine   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [529.97(40)]                 |            L11770
     17 | Cl XII        |        +11 | Chlorine   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |          [591.58(19)]                 |            L11770
     17 | Cl XIII       |        +12 | Chlorine   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |          [656.30(12)]                 |            L11770
     17 | Cl XIV        |        +13 | Chlorine   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |          [750.20(19)]                 |            L11770
     17 | Cl XV         |        +14 | Chlorine   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |          (809.1980(70))               |         L16264c99
     17 | Cl XVI        |        +15 | Chlorine   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |         (3658.34362(30))              |            L12128
     17 | Cl XVII       |        +16 | Chlorine   | H           | 1s                | 2S<1/2>      |                   |         (3946.29080(60))              |             L7188
     18 | Ar I          |          0 | Argon      | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |            15.75961120(50)            |             L9217
     18 | Ar II         |         +1 | Argon      | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |            27.62967(12)               |             L8844
     18 | Ar III        |         +2 | Argon      | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |           [40.735(12)]                |             L8114
     18 | Ar IV         |         +3 | Argon      | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |           [59.58(18)]                 |            L11770
     18 | Ar V          |         +4 | Argon      | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |           [74.84(17)]                 |            L11770
     18 | Ar VI         |         +5 | Argon      | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |            91.290(10)                 |            L12277
     18 | Ar VII        |         +6 | Argon      | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [124.412(60)]                |            L11770
     18 | Ar VIII       |         +7 | Argon      | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [143.4567(12)]               |             L4344
     18 | Ar IX         |         +8 | Argon      | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |          [422.598(60)]                |            L11770
     18 | Ar X          |         +9 | Argon      | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |          [479.76(12)]                 |         L11242c99
     18 | Ar XI         |        +10 | Argon      | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |          [540.43(60)]                 |            L11770
     18 | Ar XII        |        +11 | Argon      | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |          [618.95(40)]                 |            L11770
