# temp h_1 he_1 he_2 c_1 c_2 c_3 n_1 n_2 n_3 n_4 o_1 o_2 o_3 o_4 o_5
9.895389727017424308e-02 3.714608225164225740e-69 5.809128955516455082e-118 2.662995700843972292e-249 1.575347271132563731e-58 1.001599996850715905e-116 3.649586259835141963e-220 4.358051435481327577e-73 2.728650451518099309e-139 6.161684282947019744e-218 0.000000000000000000e+00 3.124435397637828701e-69 6.637827432758204794e-164 8.193452435428385999e-251 0.000000000000000000e+00 0.000000000000000000e+00
9.941110596947171085e-02 7.004947309889868639e-69 1.825727481073612463e-117 3.348131728093249842e-248 2.664942653114056410e-58 3.118403283981049000e-116 3.387420775944490094e-219 8.583810924384851826e-73 1.082537732544537935e-138 5.603448795915762268e-217 0.000000000000000000e+00 5.897195962009561758e-69 3.403185111919038574e-163 1.055239859802184448e-249 0.000000000000000000e+00 0.000000000000000000e+00
9.987042716560325106e-02 1.317147539133618612e-68 5.707928332575383122e-117 4.160856419135298315e-247 4.497324537704868555e-58 9.658438784517532112e-116 3.112067456263174889e-218 1.685461168835698695e-72 4.267663441102462173e-138 5.044364162830225249e-216 0.000000000000000000e+00 1.109827086589297670e-68 1.731750014012209151e-162 1.343183830010374825e-248 0.000000000000000000e+00 0.000000000000000000e+00
1.003318706191945464e-01 2.469491170548794093e-68 1.775207779740005143e-116 5.111334217216736460e-246 7.571469804583675926e-58 2.975970922982769649e-115 2.830112144162205915e-217 3.299243599248922473e-72 1.671867679439533771e-137 4.495445866836446284e-215 0.000000000000000000e+00 2.082603746933298292e-68 8.746611427556981098e-162 1.689830694274931120e-247 0.000000000000000000e+00 0.000000000000000000e+00
1.007954461359690801e-01 4.616680404991110251e-68 5.492353043468657355e-116 6.206979528712298940e-245 1.271658658537488351e-57 9.122374533888570934e-115 2.547730157319807438e-216 6.438329728963246108e-72 6.508648856152847181e-137 3.966199865991481574e-214 0.000000000000000000e+00 3.896774935542530844e-68 4.384947498336369832e-161 2.101346900700180216e-246 0.000000000000000000e+00 0.000000000000000000e+00
1.012611635669572602e-01 8.606115644699591716e-68 1.690505829326981952e-115 7.451502509195059975e-244 2.130738073697811501e-57 2.781985703436244501e-114 2.270484855861165267e-215 1.252568240148145555e-71 2.518079887651455029e-136 3.464431462415690697e-213 0.000000000000000000e+00 7.270380058894526564e-68 2.182095482391690242e-160 2.582987909202257995e-245 0.000000000000000000e+00 0.000000000000000000e+00
1.017290328087051693e-01 1.599724896381417562e-67 5.176476278326537566e-115 8.843981218182803923e-243 3.561750365619720853e-57 8.440728612599209431e-114 2.003177140464041133e-214 2.429433671198308807e-71 9.681671750960122607e-136 2.996159218173944453e-212 0.000000000000000000e+00 1.352594923088514707e-67 1.077910440022842141e-159 3.138630467378287522e-244 0.000000000000000000e+00 0.000000000000000000e+00
1.021990638034850629e-01 2.965171993182152340e-67 1.576962690950254233e-114 1.037803190925954396e-241 5.939850396264448575e-57 2.547963779225694423e-113 1.749748938848440970e-213 4.697753873594226381e-71 3.699523574049135782e-135 2.565625286396706096e-211 0.000000000000000000e+00 2.509244307811417559e-67 5.285741282679889131e-159 3.770285341869434363e-243 0.000000000000000000e+00 0.000000000000000000e+00
1.026712665395070057e-01 5.480581097695748556e-67 4.779566440336058058e-114 1.204115445652349062e-240 9.882591692197228844e-57 7.652529407912216439e-113 1.513239746228662735e-212 9.056556459037492749e-71 1.404973683063021100e-134 2.175388297435093372e-210 0.000000000000000000e+00 4.641820903447217561e-67 2.573108351685477080e-158 4.477621657881500732e-242 0.000000000000000000e+00 0.000000000000000000e+00
1.031456510511303826e-01 1.010138929598876195e-66 1.441271150926411730e-113 1.381432881370933191e-239 1.640416736586853631e-56 2.286785008891301017e-112 1.295791859182748724e-211 1.740722735141308450e-70 5.303100027390216931e-134 1.826481494460462496e-209 0.000000000000000000e+00 8.562679833089439514e-67 1.243522878405363876e-157 5.257539287152479883e-241 0.000000000000000000e+00 0.000000000000000000e+00
1.036222274190779641e-01 1.856602844800233684e-66 4.324173943575790507e-113 1.567193001335413493e-238 2.716628043278746678e-56 6.799301806380351091e-112 1.098697302011788574e-210 3.335767523623777570e-70 1.989495332203234715e-133 1.518617178332367767e-208 0.000000000000000000e+00 1.575116040934584029e-66 5.966333651338018321e-157 6.103828555605351719e-240 0.000000000000000000e+00 0.000000000000000000e+00
1.041010057706494019e-01 3.402874349644146498e-66 1.290835815318105818e-112 1.758201329163026161e-237 4.488522952282364644e-56 2.011555360857242252e-111 9.224777048238573181e-210 6.373347576681564618e-70 7.418561258289442144e-133 1.250418552581256248e-207 0.000000000000000000e+00 2.889365813256748979e-66 2.842063619824661407e-156 7.006956168655039924e-239 0.000000000000000000e+00 0.000000000000000000e+00
1.045819962799367231e-01 6.219670584916055767e-66 3.834063657641619903e-112 1.950699805600572514e-236 7.399095225140961846e-56 5.921590030653840222e-111 7.669875673730704602e-209 1.214090436374339438e-69 2.749617173687927708e-132 1.019661480452803145e-206 0.000000000000000000e+00 5.285489451020548340e-66 1.344147539526256487e-155 7.954012175482722338e-238 0.000000000000000000e+00 0.000000000000000000e+00
1.050652091680408656e-01 1.133676038180901040e-65 1.133125775014474967e-111 2.140475105472446711e-235 1.216915072015020524e-55 1.734575880134412741e-110 6.315313585976420647e-208 2.305961251681960587e-69 1.013007421260779258e-131 8.235111206154419804e-206 0.000000000000000000e+00 9.641978262501213439e-66 6.311917197360785351e-155 8.928844864797395188e-237 0.000000000000000000e+00 0.000000000000000000e+00
1.055506547032881576e-01 2.060706701384720880e-65 3.332248520024647748e-111 2.323003751600654654e-234 1.996884660697328285e-55 5.055996748232350663e-110 5.149856197253247833e-207 4.366931750258292371e-69 3.709820414161223525e-131 6.587415091623976978e-205 0.000000000000000000e+00 1.754085949340946311e-65 2.943005697033640926e-154 9.912398978777428469e-236 0.000000000000000000e+00 0.000000000000000000e+00
1.060383432014493504e-01 3.735549756973871196e-65 9.750952672334145278e-111 2.493627706488764330e-233 3.269349112796355872e-55 1.466522183303721549e-109 4.159184787027522767e-206 8.245748936672381097e-69 1.350532280060036319e-130 5.219295290931964209e-204 0.000000000000000000e+00 3.182327537972614323e-65 1.362544070341080243e-153 1.088325827031437141e-234 0.000000000000000000e+00 0.000000000000000000e+00
1.065282850259580277e-01 6.753197670866341572e-65 2.839337384179876352e-110 2.647751207253971721e-232 5.340596311915523120e-55 4.233003831100039744e-109 3.327005499329349541e-205 1.552454780632302535e-68 4.887432554703394282e-130 4.096180284649851101e-203 0.000000000000000000e+00 5.757761159109102721e-65 6.264029302714053969e-153 1.181837734325159508e-233 0.000000000000000000e+00 0.000000000000000000e+00
1.070204905881312618e-01 1.217548965775940174e-64 8.227295238071937677e-110 2.781047288177532305e-231 8.704480312190894168e-55 1.215896536980283476e-108 2.636028971509493920e-204 2.914397443832639583e-68 1.758296695881351784e-129 3.184458593463686268e-202 0.000000000000000000e+00 1.038921244201561509e-64 2.859662810864056856e-152 1.269397135638003181e-232 4.940656458412465442e-324 0.000000000000000000e+00
1.075149703473910756e-01 2.189227354545745709e-64 2.372340869386212208e-109 2.889660978261104707e-230 1.415549539932281915e-54 3.475699592244546179e-108 2.068794140153803231e-203 5.455384349828072070e-68 6.288555688350305234e-129 2.452451366294597588e-201 2.470328229206232721e-323 1.869550697210591721e-64 1.296425876761237846e-151 1.348651715802737220e-231 1.136350985434867052e-322 0.000000000000000000e+00
1.080117348114860293e-01 3.925799768453530027e-64 6.807486327435168609e-109 2.970395760687477467e-229 2.296893689852544898e-54 9.887697408232649034e-108 1.608324976051183990e-202 1.018250078257070107e-67 2.235984407013328699e-128 1.871079643512055401e-200 6.768699348025077655e-322 3.355234705861247588e-64 5.836685584807688777e-151 1.417380735612757271e-230 3.186723415676040210e-321 0.000000000000000000e+00
1.085107945367153465e-01 7.021075475656862872e-64 1.943998164892849396e-108 3.020870623996683969e-228 3.718730948334123837e-54 2.799400602013791359e-107 1.238621661745974961e-201 1.895142239372312975e-67 7.904190962296960997e-128 1.414262247037347462e-199 1.839406399466960884e-320 6.005442035892433953e-64 2.609663524949361582e-150 1.473599111615370188e-229 8.628856504617370894e-320 0.000000000000000000e+00
1.090121601281524438e-01 1.252341290083220341e-63 5.524767062459255446e-108 3.039636888344958087e-227 6.007462778904117881e-54 7.887901320544234815e-107 9.449975656857340665e-201 3.517168240726804947e-67 2.777976091577547723e-127 1.059088061796988029e-198 4.918077658397520475e-319 1.072034644091040203e-63 1.158820423047040458e-149 1.515653312300755336e-228 2.301120626818522604e-318 0.000000000000000000e+00
1.095158422398706533e-01 2.227874066861326360e-63 1.562610576426769331e-107 3.026246802509916391e-226 9.683543130959402179e-54 2.212044999656574885e-106 7.142801719842444706e-200 6.508997911529033795e-67 9.707191290731235071e-127 7.858093768404825668e-198 1.295169869487473277e-317 1.908621248508171113e-63 5.110635542595653724e-149 1.542302562004756189e-227 6.044520651370687168e-317 0.000000000000000000e+00
1.100218515751699572e-01 3.952872005874582175e-63 4.398613343910001229e-107 2.981269422121001996e-225 1.557502493268322575e-53 6.174076591496230564e-106 5.348980699152233018e-199 1.201186488762781610e-66 3.372595080291539431e-126 5.777019391894225579e-197 3.359932159290031077e-316 3.389089860940909903e-63 2.238589694788729956e-148 1.552779761467447712e-226 1.564087730383807696e-315 0.000000000000000000e+00
1.105301988868036961e-01 6.995106190178469467e-63 1.232306063520315575e-106 2.906253166154770664e-224 2.499647858269551786e-53 1.715161760628108048e-105 3.968775732927754773e-198 2.210485625644530422e-66 1.165069460996358767e-125 4.208335132826800705e-196 8.586885924442544505e-315 6.002111892433296036e-63 9.739317383595723112e-148 1.546827947074017194e-225 3.987188158793344763e-314 0.000000000000000000e+00
1.110408949772077741e-01 1.234640625780321089e-62 3.436122509764951159e-106 2.803638339129365451e-223 4.003030298894253163e-53 4.742448067209475739e-105 2.917720267753607585e-197 4.056500271711667021e-66 4.001914970156980383e-125 3.037770700952519939e-195 2.162081897801647865e-313 1.060200531214624417e-62 4.208724662669358982e-147 1.524709891137361816e-224 1.001402290587439473e-312 0.000000000000000000e+00
